TABLE_NAME,COLUMN_NAME
ACCESS_PROFILES,ACCESS_PROFILE_ID
ACCESS_PROFILES_RELATIONSHIPS,ROW_ID
ACCESS_PROFILES_ROLES,ASSIGN_ID
APP_ID_INDEX,INDEX_ID
APP_PRIVILEGES,PRIVILEGE_ID
APP_PRIVILEGE_GROUPS,GROUP_ID
AP_CLASS_ATTENDANCE,ATTEND_ID
AP_CLASS_FORMATS,FORMAT_ID
AP_CLASS_INSTANCES,INSTANCE_ID
AP_CLASS_SESSIONS,SESSION_ID
AP_CLASS_SIGNUPS,SIGNUP_ID
AP_CLASS_TYPES,TYPE_ID
AP_CLASS_TYPES_SEASONS,ASSIGN_ID
AP_CLASS_TYPE_OVERRIDES,ROW_ID
AP_CLASS_VOUCHERS,VOUCHER_ID
AP_CLASS_WL_RESULTS,SIGNUP_ID
BIN$25+9dgkN36vgU94AAAo4Rw==$0,ASSIGN_ID
BIN$26E/IgRMTk7gU94AAArZZw==$0,GRANT_ID
BIN$26EtprHYQ1jgU94AAAr56w==$0,ASSIGN_ID
BIN$26EtprHeQ1jgU94AAAr56w==$0,DEPENDENCY_ID
BIN$26GfEKmP4C7gU94AAAr2Dg==$0,ABSTRACT_ROLE_ID
BIN$26GfEKmT4C7gU94AAAr2Dg==$0,ASSIGN_ID
BIN$26GggLD/M7bgU94AAAoXFw==$0,ASSIGN_ID
BIN$26GggLD7M7bgU94AAAoXFw==$0,ASSIGN_ID
BIN$26GggLEFM7bgU94AAAoXFw==$0,GRANT_ID
BIN$26GggLEOM7bgU94AAAoXFw==$0,ASSIGN_ID
BIN$26GggLEVM7bgU94AAAoXFw==$0,ASSIGN_ID
BIN$26GggLEZM7bgU94AAAoXFw==$0,ASSIGN_ID
BIN$2Dijat+MAfjgU94AAApLrA==$0,RESTRICTION_ID
BIN$2Dijat+YAfjgU94AAApLrA==$0,ASSIGN_ID
BIN$2Dijat+gAfjgU94AAApLrA==$0,ROW_ID
BIN$2Dijat4kAfjgU94AAApLrA==$0,DR_ID
BIN$2Dijat4oAfjgU94AAApLrA==$0,EMAIL_ID
BIN$2Dijat5YAfjgU94AAApLrA==$0,LANGUAGE_ID
BIN$2Dijat5pAfjgU94AAApLrA==$0,INSTANCE_ID
BIN$2Dijat7BAfjgU94AAApLrA==$0,ASSIGN_ID
BIN$2Dijat7JAfjgU94AAApLrA==$0,ASSIGN_ID
BIN$2Dijat7eAfjgU94AAApLrA==$0,DEPENDENCY_ID
BIN$2Dijat9mAfjgU94AAApLrA==$0,PROMO_ID
BIN$2Dijatt5AfjgU94AAApLrA==$0,GROUP_ID
BIN$2DijattnAfjgU94AAApLrA==$0,ABSTRACT_ROLE_ID
BIN$2DijattrAfjgU94AAApLrA==$0,ASSIGN_ID
BIN$2DijattzAfjgU94AAApLrA==$0,PRIVILEGE_ID
BIN$2DijatuwAfjgU94AAApLrA==$0,ASSIGN_ID
BIN$2DijatvNAfjgU94AAApLrA==$0,DR_ID
BIN$2DijatxnAfjgU94AAApLrA==$0,LEVEL_ID
BIN$2DijatyuAfjgU94AAApLrA==$0,TYPE_ID
BIN$2DijauA9AfjgU94AAApLrA==$0,GRANT_ID
BIN$2DijauATAfjgU94AAApLrA==$0,SPEC_ID
BIN$2DijauB4AfjgU94AAApLrA==$0,ASSIGN_ID
BIN$2DijauBDAfjgU94AAApLrA==$0,GRANT_ID
BIN$2DijauBHAfjgU94AAApLrA==$0,ID
BIN$2DijauBLAfjgU94AAApLrA==$0,FILE_ID
BIN$2DijauBnAfjgU94AAApLrA==$0,ASSIGN_ID
BIN$2DijauBuAfjgU94AAApLrA==$0,ASSIGN_ID
BIN$2DijauCBAfjgU94AAApLrA==$0,ASSIGN_ID
BIN$2DijauCKAfjgU94AAApLrA==$0,REQ_ID
BIN$2FUJHOb4ymbgU94AAArl4g==$0,GROUP_ID
BIN$2FUJHObmymbgU94AAArl4g==$0,ABSTRACT_ROLE_ID
BIN$2FUJHObqymbgU94AAArl4g==$0,ASSIGN_ID
BIN$2FUJHObyymbgU94AAArl4g==$0,PRIVILEGE_ID
BIN$2FUJHOcvymbgU94AAArl4g==$0,ASSIGN_ID
BIN$2FUJHOdMymbgU94AAArl4g==$0,DR_ID
BIN$2FUJHOdRymbgU94AAArl4g==$0,DR_CLASS_ID
BIN$2FUJHOdWymbgU94AAArl4g==$0,CLOSURE_ID
BIN$2FUJHOdcymbgU94AAArl4g==$0,DR_RATING_ID
BIN$2FUJHOdhymbgU94AAArl4g==$0,DR_STAFF_ID
BIN$2FUJHOdmymbgU94AAArl4g==$0,WEATHER_ID
BIN$2FUJHOfmymbgU94AAArl4g==$0,LEVEL_ID
BIN$2FUJHOgtymbgU94AAArl4g==$0,TYPE_ID
BIN$2FUJHOmjymbgU94AAArl4g==$0,DR_ID
BIN$2FUJHOmnymbgU94AAArl4g==$0,EMAIL_ID
BIN$2FUJHOnXymbgU94AAArl4g==$0,LANGUAGE_ID
BIN$2FUJHOnoymbgU94AAArl4g==$0,INSTANCE_ID
BIN$2FUJHOoJymbgU94AAArl4g==$0,MEMBERSHIP_TYPE_ID
BIN$2FUJHOoJymbgU94AAArl4g==$0,AP_CLASS_TYPE_ID
BIN$2FUJHOpAymbgU94AAArl4g==$0,ASSIGN_ID
BIN$2FUJHOpIymbgU94AAArl4g==$0,ASSIGN_ID
BIN$2FUJHOpdymbgU94AAArl4g==$0,DEPENDENCY_ID
BIN$2FUJHOrlymbgU94AAArl4g==$0,PROMO_ID
BIN$2FUJHOsLymbgU94AAArl4g==$0,RESTRICTION_ID
BIN$2FUJHOsXymbgU94AAArl4g==$0,ASSIGN_ID
BIN$2FUJHOsfymbgU94AAArl4g==$0,ROW_ID
BIN$2FUJHOslymbgU94AAArl4g==$0,BLACKLIST_ID
BIN$2FUJHOu8ymbgU94AAArl4g==$0,GRANT_ID
BIN$2FUJHOuMymbgU94AAArl4g==$0,SNAPSHOT_DATETIME
BIN$2FUJHOuMymbgU94AAArl4g==$0,PROGRAM_ID
BIN$2FUJHOuMymbgU94AAArl4g==$0,BOAT_ID
BIN$2FUJHOuSymbgU94AAArl4g==$0,SPEC_ID
BIN$2FUJHOv3ymbgU94AAArl4g==$0,ASSIGN_ID
BIN$2FUJHOvCymbgU94AAArl4g==$0,GRANT_ID
BIN$2FUJHOvGymbgU94AAArl4g==$0,ID
BIN$2FUJHOvKymbgU94AAArl4g==$0,FILE_ID
BIN$2FUJHOvmymbgU94AAArl4g==$0,ASSIGN_ID
BIN$2FUJHOvtymbgU94AAArl4g==$0,ASSIGN_ID
BIN$2FUJHOwAymbgU94AAArl4g==$0,ASSIGN_ID
BIN$2FUJHOwJymbgU94AAArl4g==$0,REQ_ID
BIN$350aiQVPoOngU94AAArUug==$0,CLOSURE_ID
BIN$350aiQVVoOngU94AAArUug==$0,DR_RATING_ID
BIN$350aiQVaoOngU94AAArUug==$0,DR_STAFF_ID
BIN$350cSWGigTLgU94AAAocYw==$0,WEATHER_ID
BIN$35xL3RVMqSjgU94AAApS4A==$0,DR_ID
BIN$35xL3RVRqSjgU94AAApS4A==$0,DR_CLASS_ID
BIN$35xL3RVVqSjgU94AAApS4A==$0,DR_ID
BOATS_RATINGS,ASSIGN_ID
BOAT_TYPES,BOAT_ID
BUDGET_ITEMS,ITEM_ID
CARD_DEFINITIONS,ROW_ID
CARD_DEFINITION_TYPES,TYPE_ID
CARD_DISMISSALS,DISMISSAL_ID
CC_ERROR_CODES,ERROR_ID
CC_LOG,LOG_ID
CLASS_INSTRUCTORS,INSTRUCTOR_ID
CLASS_LOCATIONS,LOCATION_ID
COMMENTS_COLUMNS,COLUMN_ID
COMMENTS_TABLES,TABLE_ID
CONST_CONT_2014_06_23,ID
CORP_ATTEND_2013,ID
COUNTRIES,COUNTRY_ID
DAMAGE_WAIVERS,WAIVER_ID
DATETIME_RANGES,RANGE_ID
DEVELOPER_SESSIONS,ROW_ID
DH_GLOBALS,GLOBAL_ID
DISCOUNTS,DISCOUNT_ID
DISCOUNT_CATEGORIES,CATEGORY_ID
DISCOUNT_CODES,CODE_ID
DISCOUNT_INSTANCES,INSTANCE_ID
DISCOUNT_INSTANCE_LEVELS,LEVEL_ID
DISCOUNT_MAPPING,OLD_DISCOUNT_ID
DOCK_REPORTS,DOCK_REPORT_ID
DOCK_REPORT_AP_CLASSES,DOCK_REPORT_AP_CLASS_ID
DOCK_REPORT_HULL_COUNTS,DOCK_REPORT_HULL_CT_ID
DOCK_REPORT_STAFF,DOCK_REPORT_STAFF_ID
DOCK_REPORT_UAP_APPTS,DOCK_REPORT_APPT_ID
DOCK_REPORT_WEATHER,WEATHER_ID
DONATIONS,DONATION_ID
DONATION_FUNDS,FUND_ID
DONATION_INITIATIVES,INITIATIVE_ID
DONATION_SUGGESTIONS,SUGG_ID
DUPL_ACTION_PREVENTION_RECORDS,ID
EII,ID
EII_MIT,ROW_ID
EII_OVERRIDES,OVERRIDE_ID
EII_RESPONSES,RESPONSE_ID
EMAIL_CONTENT,CONTENT_ID
EMAIL_CONTENT_GROUPS,GROUP_ID
EMAIL_TRACKING,EMAIL_ID
ERROR_TYPES,TYPE_ID
EVENTS,EVENT_ID
FEEDBACK,FEEDBACK_ID
FLAGS_GLOBALS,FLAG_ID
FLAGS_GLOBALS,GLOBAL_ID
FLAG_CHANGES,CHANGE_ID
FO_APPLIED_GC,ROW_ID
FO_AR,AR_ID
FO_AR_SOURCES,SOURCE_ID
FO_CASH,CASH_ID
FO_CASH_DENOMINATIONS,DENOM_INDEX
FO_CASH_LOCATIONS,LOCATION_INDEX
FO_CHECKS,CHECK_ID
FO_CLOSES,CLOSE_ID
FO_CLOSE_USERS,CLOSE_ID
FO_CLOSE_USERS,USER_ID
FO_CLOSE_USERS,OPEN_CLOSE
FO_CURRENT_CLOSES,ROW_ID
FO_ITEMS,ROW_ID
FO_ITEMS_LOOKUP,ITEM_ID
FO_ITEM_CATEGORIES,CATEGORY_ID
FO_ITEM_TYPES,ROW_ID
FO_ITEM_TYPES_LOOKUP,TYPE_ID
FO_MISC,ROW_ID
FO_MISC_LOOKUP,ITEM_ID
FO_PARKING,CLOSE_ID
FO_REG_CODES,ROW_ID
GIFT_CERTIFICATES,CERT_ID
GIFT_CERTS_DISCOUNTS,ASSIGN_ID
GIFT_CERT_PURCHASES,PURCHASE_ID
GIFT_CERT_STATES,STATE_ID
GLOBAL_CONSTANTS,CONSTANT_ID
GLOBAL_CONSTANTS_VALUES,VALUE_ID
GLOBAL_CONSTANT_DATA_TYPES,TYPE_ID
GUEST_PRIVS,MEMBERSHIP_ID
HIGH_SCHOOLS,SCHOOL_ID
HIGH_SCHOOL_FEES,ROW_ID
HIGH_SCHOOL_PAYMENTS,PAYMENT_ID
INCOME_LEVELS,LEVEL_ID
INDIEGOGO_DONATIONS,ID
INSTALLMENT_SALES,SALE_ID
INSTRUCTION_QUEUE,INSTRUCTION_ID
JPC_INSTANCES_DISCOUNTS,ASSIGN_ID
JP_CLASS_ATTENDANCE,ATTEND_ID
JP_CLASS_INSTANCES,INSTANCE_ID
JP_CLASS_SECTIONS,SECTION_ID
JP_CLASS_SECTION_LOOKUP,SECTION_ID
JP_CLASS_SESSIONS,SESSION_ID
JP_CLASS_SIGNUPS,SIGNUP_ID
JP_CLASS_SIGNUPS_SKILLS,ASSIGN_ID
JP_CLASS_SKILLS,SKILL_ID
JP_CLASS_SKILLS_RATINGS,RATING_ID
JP_CLASS_STAGGERS,STAGGER_ID
JP_CLASS_TYPES,TYPE_ID
JP_CLASS_TYPE_OVERRIDES,ROW_ID
JP_CLASS_WL_RESULTS,SIGNUP_ID
JP_CLOSURES,CLOSURE_ID
JP_EMAIL_TRACKING,EMAIL_ID
JP_GROUPS,GROUP_ID
JP_NO_SWIM,SWIM_ID
JP_RATINGS_GRANTED,GRANT_ID
JP_REPL_MAPPING,MAP_ID
JP_SPECIAL_NEEDS,CARD_ID
JP_SPRING_WAITLIST,REG_ID
JP_TEAMS,TEAM_ID
JP_TEAM_EVENTS,EVENT_ID
JP_TEAM_EVENT_POINTS,ROW_ID
JP_WEATHER,WEATHER_ID
LANGUAGES,LANGUAGE_ID
M2_TO_HELMS,M2
MEMBERSHIPS_DISCOUNTS,ASSIGN_ID
MEMBERSHIP_PRICES,INSTANCE_ID
MEMBERSHIP_TYPES,MEMBERSHIP_TYPE_ID
MEMBERSHIP_TYPE_DISCOUNTS,DISCOUNT_ID
MEMBERSHIP_TYPE_EXP,EXPIRATION_ID
MEM_TYPES_ALLOWED_RATINGS,ASSIGN_ID
MEM_TYPES_AP_CLASS_TYPES,MEMBERSHIP_TYPE_ID
MEM_TYPES_AP_CLASS_TYPES,AP_CLASS_TYPE_ID
MERGE_HISTORY,ACTION_ID
OPT_OUT_GROUPS,OPT_OUT_GRP_ID
OPT_OUT_REQUESTS,REQ_ID
ORDERS_PROMOS,ASSIGN_ID
ORDERS_STRIPE_PAYMENT_INTENTS,ROW_ID
ORDER_NUMBERS,ORDER_ID
ORDER_STAGGERED_PAYMENTS,STAGGER_ID
PAS,PAS_ID
PERFORMANCE_LOG,LOG_ID
PERSONS,PERSON_ID
PERSONS_CARDS,ASSIGN_ID
PERSONS_CARDS_ALTERNATE,ASSIGN_ID
PERSONS_DISCOUNTS_ELIGIBLE,ROW_ID
PERSONS_EVENTS,ASSIGN_ID
PERSONS_MEMBERSHIPS,ASSIGN_ID
PERSONS_NOTIFICATION_PREFERENCES,PREF_ID
PERSONS_RATINGS,ASSIGN_ID
PERSONS_RECURRING_DONATIONS,ROW_ID
PERSONS_TAGS,ASSIGN_ID
PERSONS_TEMP,PERSON_ID
PERSONS_TO_DELETE,ROW_ID
PERSON_RELATIONSHIPS,RELATION_ID
PERSON_RELATIONSHIP_TYPES,TYPE_ID
PERSON_TYPES,TYPE_ID
PERSON_TYPES_FIELDS,ASSIGN_ID
PREFERENCES,PREF_ID
PROGRAM_TYPES,PROGRAM_ID
PROMOTIONS,PROMO_ID
RATINGS,RATING_ID
RATINGS_PROGRAMS,ASSIGN_ID
RATING_CHANGES,CHANGE_ID
RA_CZ,EVENT_ID
RESET_PW_REQS,REQ_ID
RESTRICTIONS,RESTRICTION_ID
SCHEDULED_DOWNTIME,SCHEDULE_ID
SENDGRID_SUPPRESSION_ACTIVITY,ROW_ID
SESSION_BLACKLIST,BLACKLIST_ID
SESSION_KEYS,ROW_ID
SHOPPING_CART_APPL_GC,CERT_ID
SHOPPING_CART_APPL_GC,ORDER_ID
SHOPPING_CART_DONATIONS,ITEM_ID
SHOPPING_CART_GCS,ITEM_ID
SHOPPING_CART_GUEST_PRIVS,ITEM_ID
SHOPPING_CART_JPC,ITEM_ID
SHOPPING_CART_MEMBERSHIPS,ITEM_ID
SHOPPING_CART_WAIVERS,ITEM_ID
SIGNOUTS,SIGNOUT_ID
SIGNOUTS_DEBUG,SNAPSHOT_ID
SIGNOUTS_TESTS,TEST_ID
SIGNOUT_CREW,CREW_ID
SIGNOUT_SNAPSHOTS,SNAPSHOT_DATETIME
SIGNOUT_SNAPSHOTS,PROGRAM_ID
SIGNOUT_SNAPSHOTS,BOAT_ID
SPECIAL_NEEDS,SPEC_ID
STATES,STATE_ID
STRIPE_CHARGE_ATT_LOG,ATTEMPT_ID
STRIPE_TOKENS,TOKEN_ID
SUNSETS,ID
SUNSET_TIMES,ROW_ID
SWIM_PROOF_METHODS,METHOD_ID
SYMON_SCHEDULE,SCHEDULE_ID
TABLE_INFO,TABLE_ID
TAGS,TAG_ID
TEMP_MAKE_INDICES,ID
TEXT_FILES,FILE_ID
UAP_COMMENTS,PERSON_ID
UAP_GROUPS,UAP_GROUP_ID
UAP_GROUP_PRICES,PRICE_ID
USERS,USER_ID
USERS_IPS,USER_ID
USERS_IPS,IP_ADDRESS
USERS_PREFERENCES,ROW_ID
USERS_ROLES,ASSIGN_ID
VERIFY_EMAIL_REQS,REQ_ID
WIKI_ENTRIES,ENTRY_ID
YEARLY_DATES,DATE_ID
YEARLY_DATE_ITEMS,ITEM_ID
